scientific_name,bbl_common_name,bbl_alpha,bbl_french_name,bbl_threatened_endangered,genus
Zosterops japonicus,Warbling White-eye,WAWE,Zostérops du Japon,,Zosterops
Lanius ludovicianus mearnsi,San Clemente Loggerhead Shrike,SLSH,Pie-grièche migratrice (mearnsi),Y,Lanius
Vireo altiloquus,Black-whiskered Vireo,BWVI,Viréo à moustaches,,Vireo
Vireo olivaceus,Red-eyed Vireo,REVI,Viréo aux yeux rouges,,Vireo
Vireo flavoviridis,Yellow-green Vireo,YGVI,Viréo jaune-verdâtre,,Vireo
Vireo philadelphicus,Philadelphia Vireo,PHVI,Viréo de Philadelphie,,Vireo
Vireo gilvus,Warbling Vireo,WAVI,Viréo mélodieux,,Vireo
Vireo flavifrons,Yellow-throated Vireo,YTVI,Viréo à gorge jaune,,Vireo
Vireo solitarius,Blue-headed Vireo,BHVI,Viréo à tête bleue,,Vireo
Vireo plumbeus,Plumbeous Vireo,PLVI,Viréo plombé,,Vireo
Vireo cassinii,Cassin's Vireo,CAVI,Viréo de Cassin,,Vireo
Vireo atricapilla,Black-capped Vireo,BCVI,Viréo à tête noire,,Vireo
Vireo griseus,White-eyed Vireo,WEVI,Viréo aux yeux blancs,,Vireo
Vireo huttoni,Hutton's Vireo,HUVI,Viréo de Hutton,,Vireo
Vireo bellii,Bell's Vireo,BEVI,Viréo de Bell,,Vireo
Vireo latimeri,Puerto Rican Vireo,PRVI,Viréo de Porto Rico,,Vireo
Vireo bellii pusillus,Least Bell's Vireo,LBVI,Viréo de Bell (forme minime),Y,Vireo
Vireo vicinior,Gray Vireo,GRVI,Viréo gris,,Vireo
Coereba flaveola,Bananaquit,BANA,Sucrier à ventre jaune,,Coereba
Mniotilta varia,Black-and-white Warbler,BAWW,Paruline noir et blanc,,Mniotilta
Protonotaria citrea,Prothonotary Warbler,PROW,Paruline orangée,Ontario,Protonotaria
Limnothlypis swainsonii,Swainson's Warbler,SWWA,Paruline de Swainson,,Limnothlypis
Oreothlypis superciliosa,Crescent-chested Warbler,CCWA,Paruline à croissant,,Oreothlypis
Helmitheros vermivorum,Worm-eating Warbler,WEWA,Paruline vermivore,,Helmitheros
Vermivora cyanoptera,Blue-winged Warbler,BWWA,Paruline à ailes bleues,,Vermivora
Vermivora chrysoptera,Golden-winged Warbler,GWWA,Paruline à ailes dorées,Manitoba Ontario Québec,Vermivora
Leiothlypis luciae,Lucy's Warbler,LUWA,Paruline de Lucy,,Leiothlypis
Leiothlypis virginiae,Virginia's Warbler,VIWA,Paruline de Virginia,,Leiothlypis
Leiothlypis ruficapilla,Nashville Warbler,NAWA,Paruline à joues grises,,Leiothlypis
Leiothlypis celata,Orange-crowned Warbler,OCWA,Paruline verdâtre,,Leiothlypis
Leiothlypis peregrina,Tennessee Warbler,TEWA,Paruline obscure,,Leiothlypis
Leiothlypis crissalis,Colima Warbler,COLW,Paruline de Colima,,Leiothlypis
Setophaga americana,Northern Parula,NOPA,Paruline à collier,,Setophaga
Setophaga pitiayumi,Tropical Parula,TRPA,Paruline à joues noires,,Setophaga
Setophaga tigrina,Cape May Warbler,CMWA,Paruline tigrée,,Setophaga
Peucedramus taeniatus,Olive Warbler,OLWA,Fauvine des pins,,Peucedramus
Setophaga petechia,Yellow Warbler,YEWA,Paruline jaune,,Setophaga
Setophaga caerulescens,Black-throated Blue Warbler,BTBW,Paruline bleue,,Setophaga
Setophaga coronata coronata,Myrtle Warbler,MYWA,Paruline à croupion jaune,,Setophaga
