scientific_name,ibp_common_name,ibp_alpha_code_4,ibp_alpha_code_6,genus
Nothocercus bonapartei,Highland Tinamou,HITI,NOTBON,Nothocercus
Tinamus major,Great Tinamou,GRTI,TINMAJ,Tinamus
Crypturellus soui,Little Tinamou,LITI,CRYSOU,Crypturellus
Crypturellus cinnamomeus,Thicket Tinamou,THTI,CRYCIN,Crypturellus
Crypturellus boucardi,Slaty-breasted Tinamou,SBTI,CRYBOU,Crypturellus
Crypturellus kerriae,Choco Tinamou,CHTI,CRYKER,Crypturellus
Dendrocygna viduata,White-faced Whistling-Duck,WFWD,DENVID,Dendrocygna
Dendrocygna autumnalis,Black-bellied Whistling-Duck,BBWD,DENAUT,Dendrocygna
Dendrocygna arborea,West Indian Whistling-Duck,WIWD,DENARB,Dendrocygna
Dendrocygna bicolor,Fulvous Whistling-Duck,FUWD,DENBIC,Dendrocygna
Anser canagicus,Emperor Goose,EMGO,ANSCAN,Anser
Anser caerulescens,Snow Goose,SNGO,ANSCAE,Anser
Anser caerulescens caerulescens,Lesser Snow Goose White-morph,LSGW,ANSCCA,Anser
Anser caerulescens caerulescens,Lesser Snow Goose Intermediate-morph,LSGI,ANSCCA,Anser
Anser caerulescens caerulescens,Lesser Snow Goose Blue-morph,LSGB,ANSCCA,Anser
Anser caerulescens atlantica,Greater Snow Goose White-morph,GSGW,ANSCAT,Anser
Anser caerulescens atlantica,Greater Snow Goose Intermediate-morph,GSGI,ANSCAT,Anser
Anser caerulescens atlantica,Greater Snow Goose Blue-morph,GSGB,ANSCAT,Anser
Anser caerulescens x rossii,Snow X Ross's Goose Hybrid,SRGH,ANSCAR,Anser
Anser caerulescens/rossii,Snow/Ross's Goose,SRGO,ANSCRO,Anser
Anser rossii,Ross's Goose,ROGO,ANSROS,Anser
Anser anser,Graylag Goose,GRGO,ANSANS,Anser
Anser albifrons,Greater White-fronted Goose,GWFG,ANSALB,Anser
Anser albifrons elgasi,Tule Greater White-fronted Goose,TWFG,ANSALE,Anser
Anser erythropus,Lesser White-fronted Goose,LWFG,ANSERY,Anser
Anser fabalis,Taiga Bean-Goose,TABG,ANSFAB,Anser
Anser serrirostris,Tundra Bean-Goose,TUBG,ANSSER,Anser
Anser brachyrhynchus,Pink-footed Goose,PFGO,ANSBRA,Anser
Branta bernicla,Brant,BRAN,BRABER,Branta
Branta bernicula bernicula,Atlantic Brant,ATBR,BRABBE,Branta
Branta bernicula bernicula x nigrican,Black X Atlantic Brant Intergrade,BABI,BRABBN,Branta
Branta bernicula nigricans,Black Brant,BLBR,BRABNI,Branta
Branta leucopsis,Barnacle Goose,BARG,BRALEU,Branta
Branta hutchinsii,Cackling Goose,CACG,BRAHUT,Branta
Branta hutchinsii leucopareia,Aleutian Cackling Goose,ACGO,BRAHLE,Branta
Branta hutchinsii minima,Minima Cackling Goose,MCGO,BRAHMI,Branta
Branta hutchinsii/canadensis,Cackling/Canada Goose,CCGO,BRAHUC,Branta
Branta canadensis,Canada Goose,CANG,BRACAN,Branta
Branta canadensis moffitti,Large Canada Goose,LCGO,BRACMO,Branta
Branta canadensis parvipes,Small Canada Goose,SCGO,BRACPA,Branta
Branta sandvicensis,Hawaiian Goose,HAGO,BRASAN,Branta
Anserinae (gen. sp.),Unidentified Goose,UNGO,ANSGSP,Anserinae
Cygnus olor,Mute Swan,MUSW,CYGOLO,Cygnus
Cygnus buccinator,Trumpeter Swan,TRUS,CYGBUC,Cygnus
Cygnus columbianus,Tundra Swan,TUSW,CYGCOL,Cygnus
Cygnus columbianus columbianus,Whistling Swan,WHSW,CYGCCO,Cygnus
Cygnus columbianus bewickii,Bewick's Swan,BESW,CYGCBE,Cygnus
Cygnus cygnus,Whooper Swan,WHOS,CYGCYG,Cygnus
Sarkidiornis sylvicola,Comb Duck,CODU,SARSYL,Sarkidiornis
Neochen jubata,Orinoco Goose,ORGO,NEOJUB,Neochen
Alopochen aegyptiaca,Egyptian Goose,EGGO,ALOAEG,Alopochen
Tadorna tadorna,Common Shelduck,COMS,TADTAD,Tadorna
Tadorna ferruginea,Ruddy Shelduck,RUSH,TADFER,Tadorna
Cairina moschata,Muscovy Duck,MUDU,CAIMOS,Cairina
Aix sponsa,Wood Duck,WODU,AIXSPO,Aix
Sibirionetta formosa,Baikal Teal,BATE,SIBFOR,Sibirionetta
Spatula querquedula,Garganey,GARG,SPAQUE,Spatula
Spatula discors,Blue-winged Teal,BWTE,SPADIS,Spatula
Spatula discors/cyanoptera,Blue-winged/Cinnamon Teal,BCTE,SPADIC,Spatula
Spatula cyanoptera,Cinnamon Teal,CITE,SPACYA,Spatula
Spatula clypeata,Northern Shoveler,NSHO,SPACLY,Spatula
Mareca strepera,Gadwall,GADW,MARSTR,Mareca
Mareca falcata,Falcated Duck,FADU,MARFAL,Mareca
Mareca penelope,Eurasian Wigeon,EUWI,MARPEN,Mareca
Mareca americana,American Wigeon,AMWI,MARAME,Mareca
Anas laysanensis,Laysan Duck,LAYD,ANALAY,Anas
Anas wyvilliana,Hawaiian Duck,HAWD,ANAWYV,Anas
Anas platyrhynchos x wyvilliana,Mallard X Hawaiian Duck Hybrid,MHDH,ANAPLW,Anas
Anas zonorhyncha,Eastern Spot-billed Duck,ESBD,ANAZON,Anas
Anas platyrhynchos,Mallard,MALL,ANAPLA,Anas
Anas diazi,Mexican Duck,MEDU,ANADIA,Anas
Anas platyrhynchos x rubripes,Mallard X American Black Duck Hybrid,MBDH,ANAPLR,Anas
Anas rubripes,American Black Duck,ABDU,ANARUB,Anas
Anas fulvigula,Mottled Duck,MODU,ANAFUL,Anas
Anas bahamensis,White-cheeked Pintail,WCHP,ANABAH,Anas
Anas acuta,Northern Pintail,NOPI,ANAACU,Anas
Anas crecca,Green-winged Teal,GWTE,ANACRE,Anas
Anas crecca carolinensis,American Green-winged Teal,AGWT,ANACCA,Anas
Anas crecca crecca,Eurasian Green-winged Teal,EGWT,ANACCR,Anas
Aythya valisineria,Canvasback,CANV,AYTVAL,Aythya
Aythya americana,Redhead,REDH,AYTAME,Aythya
Aythya ferina,Common Pochard,COMP,AYTFER,Aythya
Aythya collaris,Ring-necked Duck,RNDU,AYTCOL,Aythya
Aythya fuligula,Tufted Duck,TUDU,AYTFUL,Aythya
Aythya marila,Greater Scaup,GRSC,AYTMAR,Aythya
Aythya affinis,Lesser Scaup,LESC,AYTAFF,Aythya
Polysticta stelleri,Steller's Eider,STEI,POLSTE,Polysticta
Camptorhynchus labradorius,Labrador Duck,LABD,CAMLAB,Camptorhynchus
Somateria fischeri,Spectacled Eider,SPEI,SOMFIS,Somateria
Somateria spectabilis,King Eider,KIEI,SOMSPE,Somateria
Somateria mollissima,Common Eider,COEI,SOMMOL,Somateria
Histrionicus histrionicus,Harlequin Duck,HADU,HISHIS,Histrionicus
Melanitta perspicillata,Surf Scoter,SUSC,MELPER,Melanitta
Melanitta fusca,Velvet Scoter,VESC,MENFUS,Melanitta
Melanitta deglandi,White-winged Scoter,WWSC,MELDEG,Melanitta
Melanitta stejnegeri,Stejneger's Scoter,STSC,MELSTE,Melanitta
Melanitta nigra,Common Scoter,COSC,MENNIG,Melanitta
Melanitta americana,Black Scoter,BLSC,MELAME,Melanitta
Clangula hyemalis,Long-tailed Duck,LTDU,CLAHYE,Clangula
Bucephala albeola,Bufflehead,BUFF,BUCALB,Bucephala
Bucephala clangula,Common Goldeneye,COGO,BUCCLA,Bucephala
Bucephala islandica,Barrow's Goldeneye,BAGO,BUCISL,Bucephala
Mergellus albellus,Smew,SMEW,MERALB,Mergellus
Lophodytes cucullatus,Hooded Merganser,HOME,LOPCUC,Lophodytes
Mergus merganser,Common Merganser,COME,MERMER,Mergus
Mergus serrator,Red-breasted Merganser,RBME,MERSER,Mergus
Nomonyx dominicus,Masked Duck,MADU,NOMDOM,Nomonyx
Oxyura jamaicensis,Ruddy Duck,RUDU,OXYJAM,Oxyura
"Anatinae (gen, sp)",Unidentified Duck,UNDU,ANAGSP,Anatinae
Ortalis vetula,Plain Chachalaca,PLCH,ORTVET,Ortalis
Ortalis cinereiceps,Gray-headed Chachalaca,GHEC,ORTCIN,Ortalis
Ortalis ruficauda,Rufous-vented Chachalaca,RVCH,ORTRUF,Ortalis
Ortalis wagleri,Rufous-bellied Chachalaca,RBEC,ORTWAG,Ortalis
Ortalis poliocephala,West Mexican Chachalaca,WMCH,ORTPOL,Ortalis
Ortalis leucogastra,White-bellied Chachalaca,WBCH,ORTLEU,Ortalis
Penelope purpurascens,Crested Guan,CRGU,PENPUR,Penelope
Chamaepetes unicolor,Black Guan,BLAG,CHAUNI,Chamaepetes
Penelopina nigra,Highland Guan,HIGU,PENNIG,Penelopina
Oreophasis derbianus,Horned Guan,HOGU,OREDER,Oreophasis
Crax rubra,Great Curassow,GRCU,CRARUB,Crax
Numida meleagris,Helmeted Guineafowl,HELG,NUMMEL,Numida
Rhynchortyx cinctus,Tawny-faced Quail,TFQU,RHYCIN,Rhynchortyx
Oreortyx pictus,Mountain Quail,MOUQ,OREPIC,Oreortyx
Dendrortyx leucophrys,Buffy-crowned Wood-Partridge,BCWP,DENLEU,Dendrortyx
Dendrortyx macroura,Long-tailed Wood-Partridge,LTWP,DENMAC,Dendrortyx
Dendrortyx barbatus,Bearded Wood-Partridge,BEWP,DENBAR,Dendrortyx
Philortyx fasciatus,Banded Quail,BAQU,PHIFAS,Philortyx
Colinus virginianus,Northern Bobwhite,NOBO,COLVIR,Colinus
Colinus nigrogularis,Black-throated Bobwhite,BTBO,COLNIG,Colinus
Colinus cristatus,Crested Bobwhite,CRBO,COLCRI,Colinus
Colinus leucopogon,Spot-bellied Bobwhite,SPBO,COLLEU,Colinus
Callipepla squamata,Scaled Quail,SCQU,CALSQU,Callipepla
Callipepla douglasii,Elegant Quail,ELQU,CALDOU,Callipepla
Callipepla californica,California Quail,CAQU,CALCAF,Callipepla
Callipepla gambelii,Gambel's Quail,GAQU,CALGAM,Callipepla
Cyrtonyx montezumae,Montezuma Quail,MONQ,CYRMON,Cyrtonyx
Cyrtonyx ocellatus,Ocellated Quail,OCQU,CYROCE,Cyrtonyx
Dactylortyx thoracicus,Singing Quail,SIQU,DACTHO,Dactylortyx
Odontophorus gujanensis,Marbled Wood-Quail,MAWQ,ODOGUJ,Odontophorus
Odontophorus melanotis,Black-eared Wood-Quail,BEWQ,ODOMEL,Odontophorus
Odontophorus dialeucos,Tacarcuna Wood-Quail,TAWQ,ODODIA,Odontophorus
Odontophorus leucolaemus,Black-breasted Wood-Quail,BBWQ,ODOLEU,Odontophorus
Odontophorus guttatus,Spotted Wood-Quail,SPWQ,ODOGUT,Odontophorus
Meleagris gallopavo,Wild Turkey,WITU,MELGAL,Meleagris
Meleagris ocellata,Ocellated Turkey,OCTU,MELOCE,Meleagris
Bonasa umbellus,Ruffed Grouse,RUGR,BONUMB,Bonasa
Canachites canadensis,Spruce Grouse,SPGR,CANCAN,Canachites
Lagopus lagopus,Willow Ptarmigan,WIPT,LAGLAG,Lagopus
Lagopus muta,Rock Ptarmigan,ROPT,LAGMUT,Lagopus
Lagopus leucura,White-tailed Ptarmigan,WTPT,LAGLEU,Lagopus
Centrocercus urophasianus,Greater Sage-Grouse,GRSG,CENURO,Centrocercus
Centrocercus minimus,Gunnison Sage-Grouse,GUSG,CENMIN,Centrocercus
Dendragapus obscurus,Dusky Grouse,DUGR,DENOBS,Dendragapus
Dendragapus fuliginosus,Sooty Grouse,SOGR,DENFUU,Dendragapus
Tympanuchus phasianellus,Sharp-tailed Grouse,STGR,TYMPHA,Tympanuchus
Tympanuchus cupido,Greater Prairie-Chicken,GRPC,TYMCUP,Tympanuchus
Tympanuchus pallidicinctus,Lesser Prairie-Chicken,LEPC,TYMPAL,Tympanuchus
Perdix perdix,Gray Partridge,GRAP,PERPER,Perdix
Phasianus colchicus,Ring-necked Pheasant,RNEP,PHACOL,Phasianus
Lophura leucomelanos,Kalij Pheasant,KAPH,LOPLEU,Lophura
Pavo cristatus,Indian Peafowl,INPE,PAVCRI,Pavo
Ortygornis pondicerianus,Gray Francolin,GRAF,ORTPON,Ortygornis
Francolinus francolinus,Black Francolin,BLFR,FRAFRA,Francolinus
Gallus gallus,Red Junglefowl,REJU,GALGAS,Gallus
Tetraogallus himalayensis,Himalayan Snowcock,HISN,TETHIM,Tetraogallus
Alectoris chukar,Chukar,CHUK,ALECHU,Alectoris
Coturnix japonica,Japanese Quail,JAQU,COTJAP,Coturnix
Pternistis erckelii,Erckel's Francolin,ERFR,PTEERC,Pternistis
Phoenicopterus ruber,American Flamingo,AMFL,PHORUB,Phoenicopterus
Tachybaptus dominicus,Least Grebe,LEGR,TACDOM,Tachybaptus
Podilymbus podiceps,Pied-billed Grebe,PBGR,PODPOD,Podilymbus
Podilymbus gigas,Atitlan Grebe,ATGR,PODGIG,Podilymbus
Podiceps auritus,Horned Grebe,HOGR,PODAUR,Podiceps
Podiceps grisegena,Red-necked Grebe,RNGR,PODGRI,Podiceps
Podiceps nigricollis,Eared Grebe,EAGR,PODNIG,Podiceps
Aechmophorus occidentalis,Western Grebe,WEGR,AECOCC,Aechmophorus
Aechmophorus occidentalis/clarkii,Western/Clark's Grebe,WCGR,AECOCL,Aechmophorus
Aechmophorus clarkii,Clark's Grebe,CLGR,AECCLA,Aechmophorus
Pterocles exustus,Chestnut-bellied Sandgrouse,CBSA,PTEEXU,Pterocles
Columba livia,Rock Pigeon,ROPI,COLLIV,Columba
Columba palumbus,Common Wood Pigeon,CWPI,COLPAL,Columba
Ectopistes migratorius,Passenger Pigeon,PAPI,ECTMIG,Ectopistes
Patagioenas cayennensis,Pale-vented Pigeon,PVPI,PATCAY,Patagioenas
Patagioenas speciosa,Scaled Pigeon,SCPI,PATSPE,Patagioenas
Patagioenas squamosa,Scaly-naped Pigeon,SNPI,PATSQU,Patagioenas
Patagioenas leucocephala,White-crowned Pigeon,WCPI,PATLEU,Patagioenas
Patagioenas flavirostris,Red-billed Pigeon,RBPI,PATFLA,Patagioenas
Patagioenas inornata,Plain Pigeon,PLAP,PATINO,Patagioenas
Patagioenas inornata wetmorei,Puerto Rican Plain Pigeon,PRPP,PATINW,Patagioenas
Patagioenas fasciata,Band-tailed Pigeon,BTPI,PATFAS,Patagioenas
Patagioenas caribaea,Ring-tailed Pigeon,RTAP,PATCAR,Patagioenas
Patagioenas plumbea,Plumbeous Pigeon,PLUP,PATPLU,Patagioenas
Patagioenas subvinacea,Ruddy Pigeon,RUDP,PATSUB,Patagioenas
Patagioenas nigrirostris,Short-billed Pigeon,SBPI,PATNIG,Patagioenas
Patagioenas goodsoni,Dusky Pigeon,DUPI,PATGOO,Patagioenas
Streptopelia orientalis,Oriental Turtle-Dove,ORTD,STRORI,Streptopelia
Streptopelia roseogrisea,African Collared-Dove,AFCD,STRROS,Streptopelia
Streptopelia turtur,European Turtle-Dove,EUTD,STRTUR,Streptopelia
Streptopelia decaocto,Eurasian Collared-Dove,EUCD,STRDEC,Streptopelia
Streptopelia chinensis,Spotted Dove,SPDO,STRCHI,Streptopelia
Geopelia striata,Zebra Dove,ZEBD,GEOSTR,Geopelia
Columbina inca,Inca Dove,INDO,COLINC,Columbina
Columbina passerina,Common Ground Dove,CGDO,COLPAS,Columbina
Columbina minuta,Plain-breasted Ground Dove,PBGD,COLMIN,Columbina
Columbina talpacoti,Ruddy Ground Dove,RGDO,COLTAL,Columbina
Claravis pretiosa,Blue Ground Dove,BGDO,CLAPRE,Claravis
Paraclaravis mondetoura,Maroon-chested Ground Dove,MCGD,PARMOD,Paraclaravis
Starnoenas cyanocephala,Blue-headed Quail-Dove,BHQD,STACYA,Starnoenas
Geotrygon versicolor,Crested Quail-Dove,CRQD,GEOVER,Geotrygon
Geotrygon montana,Ruddy Quail-Dove,RUQD,GEOMON,Geotrygon
Geotrygon violacea,Violaceous Quail-Dove,VIQD,GEOVIO,Geotrygon
Geotrygon caniceps,Gray-fronted Quail-Dove,GFQD,GEOCAN,Geotrygon
Geotrygon leucometopia,White-fronted Quail-Dove,WFRQ,GEOLEU,Geotrygon
Geotrygon chrysia,Key West Quail-Dove,KWQD,GEOCHR,Geotrygon
Geotrygon mystacea,Bridled Quail-Dove,BRQD,GEOMYS,Geotrygon
Leptotrygon veraguensis,Olive-backed Quail-Dove,OBQD,LEPVEG,Leptotrygon
Leptotila verreauxi,White-tipped Dove,WTDO,LEPVEX,Leptotila
Leptotila jamaicensis,Caribbean Dove,CADO,LEPJAM,Leptotila
Leptotila cassinii,Gray-chested Dove,GCDO,LEPCAS,Leptotila
Leptotila plumbeiceps,Gray-headed Dove,GHDO,LEPPLU,Leptotila
Leptotila wellsi,Grenada Dove,GRDO,LEPWEL,Leptotila
Zentrygon carrikeri,Tuxtla Quail-Dove,TUQD,ZENCAR,Zentrygon
Zentrygon costaricensis,Buff-fronted Quail-Dove,BFQD,ZENCOS,Zentrygon
Zentrygon lawrencii,Purplish-backed Quail-Dove,PBQD,ZENLAW,Zentrygon
Zentrygon albifacies,White-faced Quail-Dove,WFAQ,ZENALB,Zentrygon
Zentrygon chiriquensis,Chiriqui Quail-Dove,CHQD,ZENCHI,Zentrygon
Zentrygon goldmani,Russet-crowned Quail-Dove,RCQD,ZENGOL,Zentrygon
Zenaida asiatica,White-winged Dove,WWDO,ZENASI,Zenaida
Zenaida aurita,Zenaida Dove,ZEND,ZENAUT,Zenaida
Zenaida auriculata,Eared Dove,EADO,ZENAUC,Zenaida
Zenaida macroura,Mourning Dove,MODO,ZENMAC,Zenaida
Zenaida graysoni,Socorro Dove,SODO,ZENGRA,Zenaida
Crotophaga major,Greater Ani,GRTA,CROMAJ,Crotophaga
Crotophaga ani,Smooth-billed Ani,SBAN,CROANI,Crotophaga
Crotophaga sulcirostris,Groove-billed Ani,GBAN,CROSUL,Crotophaga
Tapera naevia,Striped Cuckoo,STCU,TAPNAE,Tapera
Dromococcyx phasianellus,Pheasant Cuckoo,PHCU,DROPHA,Dromococcyx
Morococcyx erythropygus,Lesser Ground-Cuckoo,LEGC,MORERY,Morococcyx
Geococcyx velox,Lesser Roadrunner,LERO,GEOVEL,Geococcyx
Geococcyx californianus,Greater Roadrunner,GRRO,GEOCAL,Geococcyx
Neomorphus geoffroyi,Rufous-vented Ground-Cuckoo,RVGC,NEOGEO,Neomorphus
Cuculus canorus,Common Cuckoo,COCU,CUCCAN,Cuculus
Cuculus optatus,Oriental Cuckoo,ORCU,CUCOPT,Cuculus
Coccycua minuta,Little Cuckoo,LITC,COCMIT,Coccycua
Coccycua pumila,Dwarf Cuckoo,DWCU,COCPUM,Coccycua
Piaya cayana,Squirrel Cuckoo,SQCU,PIACAY,Piaya
Coccyzus melacoryphus,Dark-billed Cuckoo,DBCU,COCMEL,Coccyzus
Coccyzus americanus,Yellow-billed Cuckoo,YBCU,COCAME,Coccyzus
Coccyzus euleri,Pearly-breasted Cuckoo,PBCU,COCEUL,Coccyzus
Coccyzus minor,Mangrove Cuckoo,MACU,COCMIR,Coccyzus
Coccyzus ferrugineus,Cocos Cuckoo,COCC,COCFER,Coccyzus
Coccyzus erythropthalmus,Black-billed Cuckoo,BBCU,COCERY,Coccyzus
Coccyzus lansbergi,Gray-capped Cuckoo,GCCU,COCLAN,Coccyzus
Coccyzus pluvialis,Chestnut-bellied Cuckoo,CBCU,COCPLU,Coccyzus
Coccyzus rufigularis,Bay-breasted Cuckoo,BBRC,COCRUF,Coccyzus
Coccyzus vetula,Jamaican Lizard-Cuckoo,JALC,COCVET,Coccyzus
Coccyzus vieilloti,Puerto Rican Lizard-Cuckoo,PRLC,COCVIE,Coccyzus
Coccyzus merlini,Great Lizard-Cuckoo,GRLC,COCMER,Coccyzus
Coccyzus longirostris,Hispaniolan Lizard-Cuckoo,HILC,COCLON,Coccyzus
Lurocalis semitorquatus,Short-tailed Nighthawk,SHTN,LURSEM,Lurocalis
Chordeiles acutipennis,Lesser Nighthawk,LENI,CHOACU,Chordeiles
Chordeiles minor,Common Nighthawk,CONI,CHOMIN,Chordeiles
Chordeiles gundlachii,Antillean Nighthawk,ANNI,CHOGUN,Chordeiles
Nyctidromus albicollis,Common Pauraque,COPA,NYCALB,Nyctidromus
Phalaenoptilus nuttallii,Common Poorwill,COPO,PHANUT,Phalaenoptilus
Siphonorhis americana,Jamaican Pauraque,JAPA,SIPAME,Siphonorhis
Siphonorhis brewsteri,Least Pauraque,LEPA,SIPBRE,Siphonorhis
Nyctiphrynus mcleodii,Eared Poorwill,EAPO,NYCMCL,Nyctiphrynus
Nyctiphrynus yucatanicus,Yucatan Poorwill,YUPO,NYCYUC,Nyctiphrynus
Nyctiphrynus ocellatus,Ocellated Poorwill,OCPO,NYCOCE,Nyctiphrynus
Antrostomus carolinensis,Chuck-will's-widow,CWWI,ANTCAR,Antrostomus
Antrostomus rufus,Rufous Nightjar,RUNI,ANTRUF,Antrostomus
Antrostomus cubanensis,Cuban Nightjar,CUNI,ANTCUB,Antrostomus
Antrostomus ekmani,Hispaniolan Nightjar,HINI,ANTEKM,Antrostomus
Antrostomus salvini,Tawny-collared Nightjar,TCNI,ANTSAL,Antrostomus
Antrostomus badius,Yucatan Nightjar,YUNI,ANTBAD,Antrostomus
Antrostomus ridgwayi,Buff-collared Nightjar,BCNI,ANTRID,Antrostomus
Antrostomus vociferus,Eastern Whip-poor-will,EWPW,ANTVOC,Antrostomus
Antrostomus saturatus,Dusky Nightjar,DUNI,ANTSAT,Antrostomus
Antrostomus arizonae,Mexican Whip-poor-will,MWPW,ANTARI,Antrostomus
Antrostomus noctitherus,Puerto Rican Nightjar,PRNI,ANTNOC,Antrostomus
Hydropsalis cayennensis,White-tailed Nightjar,WTNI,HYDCAY,Hydropsalis
Hydropsalis maculicaudus,Spot-tailed Nightjar,SPTN,HYDMAU,Hydropsalis
Caprimulgus jotaka,Gray Nightjar,GRNI,CAPJOT,Caprimulgus
Steatornis caripensis,Oilbird,OILB,STECAR,Steatornis
Nyctibius grandis,Great Potoo,GRPO,NYCGRA,Nyctibius
Nyctibius griseus,Common Potoo,CPOT,NYCGRI,Nyctibius
Nyctibius jamaicensis,Northern Potoo,NORP,NYCJAM,Nyctibius
Cypseloides niger,Black Swift,BLSW,CYPNIG,Cypseloides
Cypseloides storeri,White-fronted Swift,WFSW,CYPSTO,Cypseloides
Cypseloides cryptus,White-chinned Swift,WCHS,CYPCRY,Cypseloides
Cypseloides cherriei,Spot-fronted Swift,SFSW,CYPCHE,Cypseloides
Streptoprocne rutila,Chestnut-collared Swift,CCSW,STRRUT,Streptoprocne
Streptoprocne zonaris,White-collared Swift,WCSW,STRZON,Streptoprocne
Streptoprocne semicollaris,White-naped Swift,WNSW,STRSEM,Streptoprocne
Chaetura cinereiventris,Gray-rumped Swift,GRSW,CHACIN,Chaetura
Chaetura spinicaudus,Band-rumped Swift,BRSW,CHASPI,Chaetura
Chaetura fumosa,Costa Rican Swift,CRSW,CHAFUM,Chaetura
Chaetura martinica,Lesser Antillean Swift,LASW,CHAMAR,Chaetura
Chaetura pelagica,Chimney Swift,CHSW,CHAPEL,Chaetura
Chaetura vauxi,Vaux's Swift,VASW,CHAVAU,Chaetura
Chaetura chapmani,Chapman's Swift,CHAS,CHACHA,Chaetura
Chaetura meridionalis,Sick's Swift,SISW,CHAMER,Chaetura
Chaetura brachyura,Short-tailed Swift,STSW,CHABRA,Chaetura
Hirundapus caudacutus,White-throated Needletail,WTNE,HIRCAU,Hirundapus
Aerodramus bartschi,Mariana Swiftlet,MASW,AERBAR,Aerodramus
Apus apus,Common Swift,COSW,APUAPU,Apus
Apus pacificus,Fork-tailed Swift,FTSW,APUPAC,Apus
Apus melba,Alpine Swift,ALSW,APUMEL,Apus
Aeronautes saxatalis,White-throated Swift,WTSW,AERSAX,Aeronautes
Panyptila cayennensis,Lesser Swallow-tailed Swift,LSTS,PANCAY,Panyptila
Panyptila sanctihieronymi,Great Swallow-tailed Swift,GSTS,PANSAN,Panyptila
Tachornis phoenicobia,Antillean Palm-Swift,ANPS,TACPHO,Tachornis
Florisuga mellivora,White-necked Jacobin,WNJA,FLOMEL,Florisuga
Eutoxeres aquila,White-tipped Sicklebill,WTSI,EUTAQU,Eutoxeres
Glaucis aeneus,Bronzy Hermit,BRHE,GLAAEN,Glaucis
Glaucis hirsutus,Rufous-breasted Hermit,RBHE,GLAHIR,Glaucis
Threnetes ruckeri,Band-tailed Barbthroat,BTBA,THRRUC,Threnetes
Phaethornis guy,Green Hermit,GREH,PHAGUY,Phaethornis
Phaethornis mexicanus,Mexican Hermit,MEHE,PHAMEX,Phaethornis
Phaethornis longirostris,Long-billed Hermit,LBIH,PHALON,Phaethornis
Phaethornis anthophilus,Pale-bellied Hermit,PBHE,PHAANT,Phaethornis
Phaethornis striigularis,Stripe-throated Hermit,STHR,PHASTR,Phaethornis
Doryfera ludovicae,Green-fronted Lancebill,GFRL,DORLUD,Doryfera
Colibri delphinae,Brown Violetear,BRVI,COLDEL,Colibri
Colibri thalassinus,Mexican Violetear,MEVI,COLTHA,Colibri
Colibri cyanotus,Lesser Violetear,LEVI,COLCYA,Colibri
Androdon aequatorialis,Tooth-billed Hummingbird,TBHU,ANDAEQ,Androdon
Heliothryx barroti,Purple-crowned Fairy,PCFA,HELBAR,Heliothryx
Chrysolampis mosquitus,Ruby-topaz Hummingbird,RTOH,CHRMOS,Chrysolampis
Anthracothorax prevostii,Green-breasted Mango,GNBM,ANTPRE,Anthracothorax
Anthracothorax nigricollis,Black-throated Mango,BTMA,ANTNIG,Anthracothorax
Anthracothorax veraguensis,Veraguan Mango,VERM,ANTVER,Anthracothorax
Anthracothorax dominicus,Hispaniolan Mango,HIMA,ANTDOM,Anthracothorax
Anthracothorax aurulentus,Puerto Rican Mango,PRMA,ANTAUR,Anthracothorax
Anthracothorax viridis,Green Mango,GMAG,ANTVIR,Anthracothorax
Anthracothorax mango,Jamaican Mango,JAMA,ANTMAN,Anthracothorax
Eulampis jugularis,Purple-throated Carib,PTCA,EULJUG,Eulampis
Eulampis holosericeus,Green-throated Carib,GTCA,EULHOL,Eulampis
Discosura conversii,Green Thorntail,GRET,DISCON,Discosura
Lophornis brachylophus,Short-crested Coquette,SCCO,LOPBRA,Lophornis
Lophornis delattrei,Rufous-crested Coquette,RCRC,LOPDEL,Lophornis
Lophornis helenae,Black-crested Coquette,BCCO,LOPHEL,Lophornis
Lophornis adorabilis,White-crested Coquette,WCCO,LOPADO,Lophornis
Haplophaedia aureliae,Greenish Puffleg,GRPU,HAPAUR,Haplophaedia
Heliodoxa jacula,Green-crowned Brilliant,GCBR,HELJAC,Heliodoxa
Eugenes fulgens,Rivoli's Hummingbird,RIHU,EUGFUL,Eugenes
Eugenes spectabilis,Talamanca Hummingbird,TAHU,EUGSPE,Eugenes
Panterpe insignis,Fiery-throated Hummingbird,FTHU,PANINS,Panterpe
Heliomaster longirostris,Long-billed Starthroat,LBST,HELLON,Heliomaster
Heliomaster constantii,Plain-capped Starthroat,PCST,HELCON,Heliomaster
Lampornis viridipallens,Green-throated Mountain-gem,GTMG,LAMVIR,Lampornis
Lampornis sybillae,Green-breasted Mountain-gem,GBMG,LAMSYB,Lampornis
Lampornis amethystinus,Amethyst-throated Mountain-gem,ATMG,LAMAME,Lampornis
Lampornis clemenciae,Blue-throated Mountain-gem,BTMG,LAMCLE,Lampornis
Lampornis hemileucus,White-bellied Mountain-gem,WBMG,LAMHEM,Lampornis
Lampornis calolaemus,Purple-throated Mountain-gem,PTMG,LAMCAL,Lampornis
Lampornis castaneoventris,White-throated Mountain-gem,WTMG,LAMCAS,Lampornis
Lamprolaima rhami,Garnet-throated Hummingbird,GATH,LAMRHA,Lamprolaima
Philodice bryantae,Magenta-throated Woodstar,MTWO,PHIBRY,Philodice
